"Table S2: Linear regression results for expressed PAR and NPX genes, related to Figure 2 and S3-5"				
				
Gene	deltaEx_LCL	deltaEx_Fib	gene_name.84	NPX-NPY_gene
GPR174	0.574802143	NA	GPR174	FALSE
GPRASP1	NA	0.039864671	GPRASP1	FALSE
GPRASP2	NA	-0.000367292	GPRASP2	FALSE
GRIA3	NA	0.036732303	GRIA3	FALSE
GRIPAP1	0.003212967	-0.10599213	GRIPAP1	FALSE
GRPR	NA	0.348429193	GRPR	FALSE
GSPT2	0.017644911	-0.024712586	GSPT2	FALSE
GTPBP6	0.962403511	0.669791283	GTPBP6	FALSE
GYG2	NA	0.194636786	GYG2	FALSE
HAUS7	0.026436754	-0.055806954	HAUS7	FALSE
HCCS	-0.051808836	0.023065513	HCCS	FALSE
HCFC1	0.050376635	-0.001897978	HCFC1	FALSE
HDAC6	0.03188378	-0.052934109	HDAC6	FALSE
HDAC8	0.02388567	0.039496738	HDAC8	FALSE
HDX	-0.131304948	-0.062781097	HDX	FALSE
HEPH	NA	-0.118329913	HEPH	FALSE
HMGB3	-0.013582952	0.057888395	HMGB3	FALSE
HMGN5	-0.082318238	-0.180723743	HMGN5	FALSE
HNRNPH2	0.006880687	0.00369045	HNRNPH2	FALSE
HPRT1	-0.045260699	0.014785355	HPRT1	FALSE
HSD17B10	-0.01716693	-0.023869089	HSD17B10	FALSE
HTATSF1	-0.008479364	-0.00536735	HTATSF1	FALSE
HUWE1	0.028136267	-0.035514457	HUWE1	FALSE
IDH3G	-0.031235398	0.00174893	IDH3G	FALSE
IDS	-0.026197763	0.034562405	IDS	FALSE
IGBP1	-0.0317542	0.003501992	IGBP1	FALSE
IKBKG	0.001559401	-0.018059285	IKBKG	FALSE
IL13RA1	-0.146714069	2.77E-05	IL13RA1	FALSE
IL13RA2	NA	0.710015721	IL13RA2	FALSE
IL2RG	0.066194623	NA	IL2RG	FALSE
IL3RA	0.70194118	NA	IL3RA	FALSE
IL9R	-0.150478607	NA	IL9R	FALSE
IQSEC2	NA	0.027952453	IQSEC2	FALSE
IRAK1	0.056751335	-0.01265804	IRAK1	FALSE
ITM2A	0.09673264	NA	ITM2A	FALSE
JADE3	-0.145382598	0.127479271	JADE3	FALSE
JPX	0.689147808	0.363524765	JPX	FALSE
KANTR	-0.034042837	-0.030065794	KANTR	FALSE
KCND1	NA	-0.113185448	KCND1	FALSE
KDM5C	0.729975255	0.57920862	KDM5C	TRUE
KDM6A	0.828883462	0.447811052	KDM6A	TRUE
KIF4A	-0.001117493	0.051317196	KIF4A	FALSE
KLF8	-0.130498875	NA	KLF8	FALSE
KLHL15	0.008650937	-2.34E-06	KLHL15	FALSE
KRBOX4	-0.017958897	-0.01019669	KRBOX4	FALSE
LAGE3	-0.058121967	-0.104915128	LAGE3	FALSE
LAMP2	0.002424619	-0.019724169	LAMP2	FALSE
LAS1L	0.006307445	0.007098541	LAS1L	FALSE
LDOC1	NA	-0.141912461	LDOC1	FALSE
NBDY	-0.004172541	-0.0560094	LINC01420	FALSE
LRCH2	NA	-0.093256522	LRCH2	FALSE
MAGED1	0.036672974	-0.016917906	MAGED1	FALSE
MAGED2	-0.00427589	-0.058245882	MAGED2	FALSE
MAGED4B	NA	-0.173933437	MAGED4B	FALSE
MAGEE1	NA	0.233572322	MAGEE1	FALSE
MAGEH1	0.052319277	0.003767925	MAGEH1	FALSE
MAGT1	0.005399013	-0.034800347	MAGT1	FALSE
MAMLD1	NA	0.044475671	MAMLD1	FALSE
MAP7D2	1.033414093	NA	MAP7D2	FALSE
MAP7D3	-0.036816481	0.014973689	MAP7D3	FALSE
MBNL3	0.062218917	-0.16270547	MBNL3	FALSE
MBTPS2	0.032760125	0.078962903	MBTPS2	FALSE
MCTS1	-0.024297018	-0.015498068	MCTS1	FALSE
MECP2	-0.018398412	-0.038021355	MECP2	FALSE
MED12	0.036860661	-0.032453494	MED12	FALSE
MED14	0.080790165	0.057512573	MED14	FALSE
MID1	NA	-0.067975315	MID1	FALSE
MID1IP1	0.079771995	-0.056993415	MID1IP1	FALSE
MID2	NA	0.229165839	MID2	FALSE
MMGT1	-0.05105845	-0.027147564	MMGT1	FALSE
MORC4	NA	0.045979713	MORC4	FALSE
MORF4L2	0.020942596	0.010753322	MORF4L2	FALSE
MOSPD1	-0.052624285	-0.023701373	MOSPD1	FALSE
MOSPD2	-0.009818406	-0.013972569	MOSPD2	FALSE
MPP1	0.23724438	0.214537642	MPP1	FALSE
MSL3	0.257008126	-0.01798416	MSL3	FALSE
MSN	0.020956354	0.044815255	MSN	FALSE
MTM1	0.034333918	0.055297466	MTM1	FALSE
MTMR1	0.036865343	0.048356829	MTMR1	FALSE
MTMR8	-0.016071848	NA	MTMR8	FALSE
MXRA5	NA	-0.034249519	MXRA5	FALSE
NAA10	0.052926817	0.200890411	NAA10	FALSE
NAP1L3	NA	-0.094470272	NAP1L3	FALSE
NDUFA1	-0.00066307	0.027779633	NDUFA1	FALSE
NDUFB11	-0.035717035	-0.027826849	NDUFB11	FALSE
BEX3	-0.320001979	-0.003623459	NGFRAP1	FALSE
NHS	NA	0.010688346	NHS	FALSE
NHSL2	NA	0.122797853	NHSL2	FALSE
NKAP	0.011260374	0.014472395	NKAP	FALSE
NKRF	-0.022449775	-0.044422939	NKRF	FALSE
NONO	-0.002648017	-0.016092033	NONO	FALSE
NSDHL	-0.026852179	0.065213483	NSDHL	FALSE
NUDT10	NA	-0.023294512	NUDT10	FALSE
NUDT11	NA	-0.024269883	NUDT11	FALSE
NXT2	-0.00221532	-0.028620793	NXT2	FALSE
OCRL	-0.018667167	0.017220425	OCRL	FALSE
OFD1	0.092263249	0.277558597	OFD1	FALSE
OGT	0.015982263	-0.059091473	OGT	FALSE
OPHN1	NA	0.112449829	OPHN1	FALSE
OTUD5	-0.004616715	-0.015325915	OTUD5	FALSE
P2RY10	0.308440003	NA	P2RY10	FALSE
P2RY8	0.89322344	NA	P2RY8	FALSE
PABPC5	NA	0.019810015	PABPC5	FALSE
PBDC1	-0.024279632	0.002217955	PBDC1	FALSE
PDHA1	-0.042654679	0.007124769	PDHA1	FALSE
PDK3	-0.026555133	0.148003956	PDK3	FALSE
PDZD11	-0.068820226	-0.022752016	PDZD11	FALSE
PGK1	-0.007843281	-0.026848799	PGK1	FALSE
PGRMC1	-0.048941539	-0.008017585	PGRMC1	FALSE
PHF6	-0.029801118	-0.035758923	PHF6	FALSE
PHF8	-0.00016872	-0.029732259	PHF8	FALSE
PHKA1	NA	1.064791477	PHKA1	FALSE
PHKA2	0.03962658	0.097103347	PHKA2	FALSE
PIGA	-0.012304304	0.013644374	PIGA	FALSE
PIM2	0.058936422	-0.168982658	PIM2	FALSE
PIN4	0.183633504	0.216691232	PIN4	FALSE
PIR	0.038384143	-0.043133038	PIR	FALSE
PJA1	0.022646624	-0.004600562	PJA1	FALSE
PLCXD1	1.026787146	1.218971258	PLCXD1	FALSE
PLP2	-0.11481005	0.042305307	PLP2	FALSE
PLS3	-0.175122722	0.0889998	PLS3	FALSE
PLXNA3	0.042968346	-0.013296491	PLXNA3	FALSE
PLXNB3	NA	0.0118314	PLXNB3	FALSE
PNPLA4	0.821236335	0.301383897	PNPLA4	FALSE
POLA1	0.005972735	-0.00530982	POLA1	FALSE
PORCN	-0.040889166	0.044801818	PORCN	FALSE
PPP1R3F	-0.014233798	-0.111121342	PPP1R3F	FALSE
PPP2R3B	1.471182375	1.073178578	PPP2R3B	FALSE
PQBP1	-0.028167464	-0.048924336	PQBP1	FALSE
PRAF2	-0.004797954	0.008551907	PRAF2	FALSE
PRDX4	0.047093263	-0.05484094	PRDX4	FALSE
PRICKLE3	-0.035380072	-0.052247715	PRICKLE3	FALSE
PRKX	0.466814288	-0.080816755	PRKX	TRUE
PRPS1	-0.000523522	0.158910998	PRPS1	FALSE
PRPS2	0.012030718	0.042822873	PRPS2	FALSE
PRRG1	NA	-0.055071657	PRRG1	FALSE
PSMD10	-0.008873301	0.020960256	PSMD10	FALSE
PUDP	1.002934141	1.18335713	PUDP	FALSE
RAB33A	-0.030598802	-0.251631185	RAB33A	FALSE
RAB39B	0.002906047	-0.012903322	RAB39B	FALSE
RAB9A	0.04320665	0.173579907	RAB9A	FALSE
RAP2C	-0.018290501	-0.02681531	RAP2C	FALSE
RBBP7	0.007747988	0.2924137	RBBP7	FALSE
RBM10	0.014644165	-0.02476117	RBM10	FALSE
RBM3	-0.036696648	0.044172666	RBM3	FALSE
RBM41	0.022225982	0.017094685	RBM41	FALSE
RBMX	-0.005001609	0.0102006	RBMX	TRUE
RBMX2	-0.049869891	-0.03182218	RBMX2	FALSE
RENBP	-0.118941805	NA	RENBP	FALSE
RTL5	NA	0.169116669	RGAG4	FALSE
RGN	NA	0.585253787	RGN	FALSE
RLIM	-0.031804693	-0.003073083	RLIM	FALSE
RNF113A	0.002007173	-0.046630548	RNF113A	FALSE
RNF128	NA	-0.184103486	RNF128	FALSE
RP2	-0.059309893	0.003047856	RP2	FALSE
RPGR	0.040313633	-0.011462291	RPGR	FALSE
RPL10	0.01930934	-0.003480461	RPL10	FALSE
RPL36A	-0.040189566	-0.040163062	RPL36A	FALSE
RPL36A-HNRNPH2	-0.026821489	NA	RPL36A-HNRNPH2	FALSE
RPL39	-0.003194825	-0.036576681	RPL39	FALSE
RPS4X	0.604322143	0.428965132	RPS4X	TRUE
RPS6KA3	0.023512256	0.045643669	RPS6KA3	FALSE
RPS6KA6	NA	0.08010946	RPS6KA6	FALSE
RRAGB	-0.034098487	-0.026882125	RRAGB	FALSE
SASH3	0.052749569	NA	SASH3	FALSE
SAT1	-0.058226154	-0.163502225	SAT1	FALSE
SCML1	-0.185175616	0.013979013	SCML1	FALSE
SCML2	NA	0.066323676	SCML2	FALSE
SEPTIN6	0.288814907	0.009139178	SEPT6	FALSE
SH3BGRL	-0.02860577	-0.054452404	SH3BGRL	FALSE
SH3KBP1	0.002220631	-0.088575718	SH3KBP1	FALSE
SLC10A3	-0.001604664	-0.037408961	SLC10A3	FALSE
SLC16A2	NA	0.131568002	SLC16A2	FALSE
SLC25A14	-0.014664136	-0.020476706	SLC25A14	FALSE
SLC25A43	-0.020022999	0.033813775	SLC25A43	FALSE
SLC25A5	-0.033178478	0.02056848	SLC25A5	FALSE
SLC25A53	-0.001382265	NA	SLC25A53	FALSE
SLC25A6	1.020613627	0.742380277	SLC25A6	FALSE
SLC35A2	-0.04281438	-0.014774974	SLC35A2	FALSE
SLC38A5	-0.017236751	-0.185602478	SLC38A5	FALSE
SLC6A8	0.043442055	0.199589371	SLC6A8	FALSE
SLC9A6	-0.035817664	0.028391941	SLC9A6	FALSE
SLC9A7	-0.010269267	0.003987878	SLC9A7	FALSE
SMARCA1	NA	-0.034934371	SMARCA1	FALSE
SMC1A	0.579768416	0.426498448	SMC1A	FALSE
SMIM10	NA	0.022913334	SMIM10	FALSE
SMS	-0.045653191	0.025999766	SMS	FALSE
SNX12	-0.020324671	0.020143675	SNX12	FALSE
SOWAHD	0.091869796	NA	SOWAHD	FALSE
SPIN2B	0.065262936	-0.021167463	SPIN2B	FALSE
SPIN3	0.012082642	-0.117333431	SPIN3	FALSE
SPIN4	0.020918319	-0.054638218	SPIN4	FALSE
SRPX	NA	-0.078132918	SRPX	FALSE
SRPX2	NA	-0.024375161	SRPX2	FALSE
SSR4	0.034926783	-0.042656992	SSR4	FALSE
STAG2	-0.018791475	0.003124447	STAG2	FALSE
STARD8	NA	0.139159611	STARD8	FALSE
STK26	-0.033410779	-0.045267021	STK26	FALSE
STS	0.782632522	0.765955676	STS	FALSE
SUV39H1	0.024652286	0.048718588	SUV39H1	FALSE
SYAP1	0.095444664	0.465799631	SYAP1	FALSE
SYTL4	NA	0.026905595	SYTL4	FALSE
TAB3	-0.013196652	-0.050806579	TAB3	FALSE
TAF1	0.017804927	-0.009477258	TAF1	FALSE
TAF9B	-0.018682572	-0.001063327	TAF9B	FALSE
TAZ	0.011981103	0.001997757	TAZ	FALSE
TBC1D25	-0.023240933	-0.004877419	TBC1D25	FALSE
TBC1D8B	-0.205995129	-0.11762943	TBC1D8B	FALSE
TBL1X	-0.083406786	-0.045385763	TBL1X	TRUE
TCEAL1	0.01275858	0.012216299	TCEAL1	FALSE
TCEAL3	0.003017045	0.038337974	TCEAL3	FALSE
TCEAL4	-0.043202984	0.03686775	TCEAL4	FALSE
TCEAL7	NA	0.224832286	TCEAL7	FALSE
TCEAL8	-0.043749822	-0.024527385	TCEAL8	FALSE
TCEANC	0.104748161	0.341994744	TCEANC	FALSE
TFE3	0.017390615	0.043989801	TFE3	FALSE
THOC2	-0.004234461	-0.048086443	THOC2	FALSE
TIMM17B	0.026754621	-0.027920085	TIMM17B	FALSE
TIMM8A	-0.025110563	-0.034125007	TIMM8A	FALSE
TIMP1	-0.060369258	0.169814924	TIMP1	FALSE
TLR7	0.072486482	NA	TLR7	FALSE
TMEM164	0.096051606	0.030792902	TMEM164	FALSE
TMEM185A	-0.047866642	0.025544766	TMEM185A	FALSE
TMEM187	0.005857622	0.261243544	TMEM187	FALSE
TMEM47	NA	0.016979647	TMEM47	FALSE
TMLHE	-0.003229348	0.041423619	TMLHE	FALSE
TMSB15A	NA	-0.135861682	TMSB15A	FALSE
TMSB15B	0.043474656	0.132238637	TMSB15B	FALSE
TMSB4X	0.021296061	0.0498886	TMSB4X	TRUE
TRAPPC2	0.13566126	0.26622081	TRAPPC2	FALSE
TREX2	NA	0.034793785	TREX2	FALSE
TRMT2B	0.048129447	0.021826422	TRMT2B	FALSE
TRO	-0.060405885	-0.187082901	TRO	FALSE
TSC22D3	0.002542279	-0.116871028	TSC22D3	FALSE
TSPAN6	NA	-0.009001144	TSPAN6	FALSE
TSPYL2	-0.012277803	-0.058849672	TSPYL2	TRUE
TSR2	0.002954637	0.03762835	TSR2	FALSE
TXLNG	0.235727886	0.53202223	TXLNG	TRUE
UBA1	0.154629002	0.25829828	UBA1	FALSE
UBE2A	0.023582849	0.03557007	UBE2A	FALSE
UBL4A	0.001394946	-0.020435047	UBL4A	FALSE
UBQLN2	-0.005709605	-0.00134382	UBQLN2	FALSE
UPF3B	0.009854253	-0.067862877	UPF3B	FALSE
UPRT	-0.009570218	0.005875113	UPRT	FALSE
USP11	-0.05757424	-0.054676456	USP11	FALSE
USP27X	-0.018170641	0.100485463	USP27X	FALSE
USP9X	0.13745581	0.173848532	USP9X	TRUE
UTP14A	-0.00558787	-0.069650873	UTP14A	FALSE
UXT	-0.027109866	-0.017130601	UXT	FALSE
VAMP7	-0.031271165	-0.035585433	VAMP7	FALSE
VBP1	-0.015890812	-0.013036195	VBP1	FALSE
VMA21	-0.00340526	0.019349364	VMA21	FALSE
WAS	0.02613132	NA	WAS	FALSE
WASH6P	0.030514895	-0.012300228	WASH6P	FALSE
TCEAL9	-0.242824626	-0.002219344	WBP5	FALSE
WDR13	0.014130307	-0.021779096	WDR13	FALSE
WDR44	-0.012645345	-0.010231941	WDR44	FALSE
WDR45	0.003473175	0.015631475	WDR45	FALSE
WWC3	0.218903249	0.133644542	WWC3	FALSE
XG	NA	0.130616624	XG	FALSE
XIAP	0.022606972	-0.038109698	XIAP	FALSE
XIST	1.159830948	1.000452131	XIST	FALSE
XPNPEP2	NA	-0.130669114	XPNPEP2	FALSE
YIPF6	-0.037052437	-0.051603924	YIPF6	FALSE
YY2	NA	0.051870809	YY2	FALSE
ZBED1	0.849273216	0.71912681	ZBED1	FALSE
ZBTB33	0.014481343	-0.004257605	ZBTB33	FALSE
ZC4H2	-0.004617716	-0.059356	ZC4H2	FALSE
ZDHHC9	-0.041920604	-0.005642201	ZDHHC9	FALSE
ZFX	0.4525512	0.471192084	ZFX	TRUE
ZMYM3	-0.014023215	-0.056199875	ZMYM3	FALSE
ZNF182	0.020607999	-0.010684927	ZNF182	FALSE
ZNF185	NA	0.006903627	ZNF185	FALSE
ZNF275	0.065869521	0.013008424	ZNF275	FALSE
ZNF280C	0.013293563	-0.052747518	ZNF280C	FALSE
ZNF41	0.013909649	-0.054883901	ZNF41	FALSE
ZNF449	0.009678251	-0.008026607	ZNF449	FALSE
ZNF630	-0.018421214	-0.059413868	ZNF630	FALSE
ZNF674	-0.011989701	-0.060287486	ZNF674	FALSE
ZNF711	-0.21851608	-0.387113519	ZNF711	FALSE
ZNF75D	0.043761045	0.013652545	ZNF75D	FALSE
ZNF81	-0.013623359	-0.052563021	ZNF81	FALSE
ZRSR2	0.398511891	0.570970198	ZRSR2	FALSE
ZXDA	NA	0.001644407	ZXDA	FALSE
ZXDB	0.105727264	0.00680111	ZXDB	FALSE
